#############################################################################
#
# Tzop = 0
#
#############################################################################
#
#			 JPop=0+	 JPop=1+	 JPop=2+
# WT1max	WT2max	IDN	DIS	IDN	DIS	IDN	DIS
   2		 2	    32 	   110	    53 	   237	    59	   250
   4		 4	   481	  1856	  1152	  4774	  1518	  6224
   6		 6	  4060	 16078	 10851	 44114	 15559	 63044
#
   2		 4	   159	   572 	   322	  1384 	   407    1670
   4		 8	  5781	 22758	 15442	 62920	 22495   90957	
   6		12	 78000	311032	221721	893576	341947 1374980
#
#			 JPop=0-	 JPop=1-	 JPop=2-
# WT1max	WT2max	IDN	DIS	IDN	DIS	IDN	DIS
   2		 2	    14 	    60	    33 	   140	    32	   138
   4		 4	   348	  1430	   919	  3768	  1179	  4844
   6		 6	  3428	 13896	  9501	 38486	 13507	 54738
#
   2		 4	   121	   512 	   311	  1310 	   373    1582
   4		 8	  5480	 22296	 15329	 62324	 22175	 90220 
   6		12	 76712  309072  221189  891004  340493 1371772

#############################################################################
#
# Tzop = 1
#
#############################################################################
#
#			 JPop=0+	 JPop=1+	 JPop=2+
# WT1max	WT2max	pp2pn	pn2nn	pp2pn	pn2nn	pp2pn	pn2nn
   2		 2	    90	    90	   211	   211	   222	   222
   4		 4	  1738	  1738	  4601	  4601	  6019	  6019
   6		 6	 15642	 15642	 43423	 43423	 62173	 62173
#
   6		12	308324	308324	888718	888718	1368346	1368346
#
#			 JPop=0-	 JPop=1-	 JPop=2-
# WT1max	WT2max	pp2pn	pn2nn	pp2pn	pn2nn	pp2pn	pn2nn
   2		 2	    58	    58	   136	   136	   133	   133
   4		 4	  1411	  1411	  3722	  3722	  4780	  4780
   6		 6	 13804	 13804	 38245	 38245	 54383	 54383	
#
   6		12	307960	307960	887880	887880	1366872	1366872

#############################################################################
#
# Tzop = 2
#
#############################################################################
#
#			 JPop=0+	 JPop=1+	 JPop=2+
# WT1max	WT2max	pp2nn		pp2nn		pp2nn
   2		 2	    48		    95		   107
   4		 4	   876		  2232		  2964
   6		 6	  7824		 21436		 30852
#
   6		12	154404		441930		682382
#
#			 JPop=0-	 JPop=1-	 JPop=2-
# WT1max	WT2max	pp2nn		pp2nn		pp2nn
   2		 2	    28		    66		    64
   4		 4	   696		  1838		  2358
   6		 6	  6856		 19002		 27014
#
   6		12	153424		442378		680986

#############################################################################
